headline,category
"Don Lemon, Trevor Noah Break Down 'The Worst Black History Month Ever'",BLACK VOICES
"Julia Louis-Dreyfus Talks Me Too, Al Franken: 'He Was On The Right Side Of The Issues'",POLITICS
Obama Photographer: Donald Trump 'Disrespects The Oval Office Every Day',POLITICS
Will Smith Debuts His New ‘Bucket List’ Series After He Turned 50,ENTERTAINMENT
Congress To Continue Michael Cohen Testimony On Russia Behind Closed Doors,POLITICS
Twitter Thread Nails The More Subtle Symptoms Of Mental Health Conditions,WELLNESS
The New Lines Of Investigation Michael Cohen’s Testimony Opens Up For Congress,POLITICS
"Joe Biden Says He’s ‘Close’ To 2020 Decision, Family ‘Want Me To Run’",POLITICS
White House Bars Some Reporters From Trump-Kim Dinner In Vietnam,POLITICS
Michael Cohen's Testimony To The House Oversight Committee Had Some Wild Moments,POLITICS
How The Font On Your Restaurant Menu Could Be Tricking You,FOOD & DRINK
Ryan Reynolds' 'Detective Pikachu' Rides A Caffeine Buzz In New Trailer,ENTERTAINMENT
Chicago Will Soon Elect A Black Woman As Mayor For The First Time,POLITICS
How 'Crazy Rich Asians' Director Jon M. Chu Snuck Into His First Oscars,ENTERTAINMENT
Jenna Bush Hager To Replace Kathie Lee Gifford On 'Today',MEDIA
Amateur Female Boxers Can Now Wear Hijabs And Head Coverings,WOMEN
California Lawmakers Fight For Equal Pay For Athletes In Contests On State Land,WOMEN
Sen. Bernie Sanders Commits To Releasing 10 Years' Worth of Tax Returns,POLITICS
SEC Says Elon Musk Violated Fraud Settlement With Tweet,BUSINESS
Lady Gaga Yearns For The Day Oscars 'Will Not Be Male And Female',ENTERTAINMENT
Fox News Host Slams Alexandria Ocasio-Cortez For Raising Her Office's Starting Salary,MEDIA
John Brennan Torches Trump's Harry Reid 'Smear': 'You Shame Yourself',POLITICS
What To Watch On Netflix That’s New This Week (Feb. 25-March 3),HOME & LIVING
"Tina Fey, Amy Poehler And Maya Rudolph, The Hosts We Deserve, Open The Oscars",ENTERTAINMENT
Mahershala Ali Wins Best Supporting Actor Oscar For ‘Green Book’,ENTERTAINMENT
Former US Attorney Says Mueller Report May Be Delayed By Probe Of Donald Trump Jr.,POLITICS
"'Mueller's Found A Coven' In So-Called Witch Hunt, Ex-DOJ Official Says",POLITICS
"NRA Slammed For 'Target Practice' Headline Next To Photo Of Nancy Pelosi, Gabby Giffords",POLITICS
Jake Tapper Shuts Down Mike Pompeo's Lie About Trump's North Korea Comments,POLITICS
Microsoft Workers Protest Use Of HoloLens Headsets For War,TECH
"Stanley Donen, Director Of 'Singin' In The Rain,' Dies At 94",ENTERTAINMENT
Nicolle Wallace: Donald Trump ‘Greenlit A War In This Country Around Race’,MEDIA
What To Watch On Amazon Prime This Week (Feb. 17-23),HOME & LIVING
The Oscars Are Only As Hellish As Everything Else Going On In America Right Now,ENTERTAINMENT
R. Kelly Bond Set At $1 Million As Officials Share New Details Of Alleged Abuse,ENTERTAINMENT
Trump Won't Say If He Thinks Rep. Steve King Should Seek Re-election,POLITICS
'The Late Show' Introduces Superheroes Fighting The Science Of Climate Change,COMEDY
'Captain Marvel' Movie Rating Suffers After Trolls Post Disturbing Reviews,ENTERTAINMENT
"2 Women Accuse R. Kelly Of Sexual Harassment, Assault When They Were Minors",WOMEN
R. Kelly Charged With 10 Counts Of Aggravated Criminal Sexual Abuse,U.S. NEWS
Washington Post Columnist Dismantles Donald Trump And Stephen Miller’s Biggest Border Lies,MEDIA
Florida's Toxic 'Red Tide' Algae Bloom Is Not Showing Up In Tests,ENVIRONMENT
One Reason To Be Cautious About Those 2020 Horserace Polls,POLITICS
Pope Francis’ Sex Abuse Summit Is Missing A Huge Opportunity To Center Survivors,RELIGION
Northam Cancels First Stop On 'Reconciliation Tour' After Students Ask Him To Reschedule,POLITICS
10 Bags On Sale For Under $100 During The Nordstrom Winter Sale,STYLE & BEAUTY
"LGBTQ Youth Make Up 1 Out Of Every 4 Preteen Suicides, Study Finds",QUEER VOICES
Twitter Users Skewer Trump's Bizarre Rant About '6G' Technology,POLITICS
"Johnson & Johnson Subpoenaed By DOJ, SEC Over Baby Powder Safety Concerns",BUSINESS
Little Caesars Employee Fired For Writing 'Gay' On Customer Receipt,QUEER VOICES
These Photos Capture February’s Sensational Supermoon In All Its Celestial Glory,SCIENCE
Southern Baptists Share Strategic Plan To Address Sexual Abuse,WOMEN
Nordstrom's Winter Sale Has A Lot Of Cheap Mules And Slides For Spring,STYLE & BEAUTY
Spring Dresses To Get On Sale From Nordstrom's Winter Sale,STYLE & BEAUTY
Stephen Colbert Trolls 'Old White Guy' Bernie Sanders Over Tone-Deaf Diversity Comments,COMEDY
Rod Rosenstein To Leave Justice Department By Mid-March: Reports,POLITICS
London Fashion Week’s Most Show-Stopping Fall 2019 Runway Looks,STYLE & BEAUTY
Hillary Clinton Hits Back At Donald Trump With List Of 'Real National Emergencies',POLITICS
Andrew McCabe Stunned By 'Remarkable' Number Of Russian Contacts In Trump's Circle,POLITICS
States File Lawsuit Challenging Trump’s National Emergency Over Border Wall,POLITICS
Holy Puck! Hockey Announcer's Terrifying Close Call Caught On Video,SPORTS
John Oliver Tears Into Trump: ‘There Is Zero Actual Emergency At The Border’,MEDIA
‘Guilt-Free’ Comfort Food Is Loaded With Shame. Here’s How It’s Hurting You.,FOOD & DRINK
DC Relinquishes Rights To Comic Book Series About Jesus After Conservative Backlash,RELIGION
North Carolina Election Board Finds Evidence Of Significant Fraud To Help GOP Candidate,POLITICS
"Wisconsin Governor Pushes Decriminalizing Marijuana, Legalizing Medical Use",POLITICS
People Protest Trump’s National Emergency For A Border Wall On Presidents Day,POLITICS
A California City Is Giving ‘No Strings Attached’ Money To Residents. Here's Why.,U.S. NEWS
US Military Planes Land In A Colombian Border Town With Aid For Venezuela,WORLD NEWS
Mexican Actor Apologizes For Indian Slur Against 'Roma' Star Yalitza Aparicio,ENTERTAINMENT
Trump Said ISIS Eradication Would Be Announced In 24 Hours. It's Been 2 Days.,POLITICS
California AG: States Will Sue Trump Administration 'Definitely And Imminently',POLITICS
Trump Lashes Out At The Media But Twitter Users Push Back With Fierce Replies,MEDIA
What To Watch On Netflix That’s New This Week (Feb. 10-16),HOME & LIVING
Robert Mueller Says Paul Manafort Could Face Up To 24 Years In Federal Prison,POLITICS
NBA To Co-Launch Professional Basketball League In Africa,SPORTS
"Payless ShoeSource To Close All Remaining 2,100 Stores",BUSINESS
Jimmy Carter Puckers Up For Wife Rosalynn On Atlanta Hawks' Kiss Cam,POLITICS
Trump Takes Off To Mar-A-Lago After National Emergency Declaration,POLITICS
Prince William Gets Honest About Diapers And Dad Life,STYLE & BEAUTY
Trump Pushes Executing Drug Dealers Amid Declaration Of National Border Emergency,POLITICS
21 Savage Speaks Out For The First Time Since Release,ENTERTAINMENT
Ruth Bader Ginsburg Returns To Work At The Supreme Court,POLITICS
"Trump To Announce He Will Spend $8 Billion On Wall, Declare National Emergency",POLITICS
Blame Lady Gaga's Botched Musical Tattoo On 'Too Many Tequilas',ENTERTAINMENT
Anderson Cooper: Trump Has Failed At The One Thing He Said He Was Best At,MEDIA
Wildlife Photographer Of The Year’s Winning Photo Is A Valentine’s Day Treat,CULTURE & ARTS
Stephen Colbert Imagines Donald Trump's Other Stolen Slogans,COMEDY
Trevor Noah Taunts Donald Trump Fans To Their Faces With 'Bricky The Border Wall' Mascot,COMEDY
Fed-Up Colbert Shreds Democrats And Republicans Alike Over Wall Brawl,COMEDY
Nancy Pelosi To GOP: A Democratic President Could Declare National Emergency On Guns,POLITICS
"Donald Trump Uses The Number 69 In A Tweet, The Inevitable Happens",POLITICS
Ted Cruz Demands That Convicted El Chapo Pay For Donald Trump's Border Wall,POLITICS
Lena Headey Channels Her ‘Game Of Thrones’ Character Cersei Lannister To Slay Troll,ENTERTAINMENT
Luke Bryan Adopts 18-Year-Old Rescue Dog That Previous Owner Left At The Pound,ENVIRONMENT
What Howard Schultz Means When He Says He Grew Up In The Projects,POLITICS
House Votes Against Saudi Military Support In Yemen,POLITICS
Christian Bale Names The 1 Book Actors Should Read Before Playing Donald Trump,ENTERTAINMENT
Rep. Liz Cheney Goes On ‘Hooey’ Rant About The Green New Deal,POLITICS
Donald Trump Says Rep. Ilhan Omar Should Consider Resigning Over Israel Tweets,POLITICS
Joy Behar Scolds Meghan McCain For On-Air 'Hissy Fit',MEDIA
Severance Pay Could Be The Next Big Progressive Labor Cause,BUSINESS
Brie Larson Is Using Her 'Privileges And Powers' As 'Captain Marvel' To Center Women,ENTERTAINMENT
Senate Democrats Running For President Don't Always Agree. Just Look At Their Vote Record.,POLITICS
Southern Baptist Leaders Promise 'Change' After Report Uncovers Rampant Sexual Abuse,RELIGION
"Tom Suozzi, Moderate Democrat On Powerful Economic Committee, Backs Green New Deal",POLITICS
"Venice, Italy, To Start Taxing One-Day Visitors",TRAVEL
Trump Supporters Form Human ‘Wall’ Along U.S.-Mexico Border,POLITICS
Disney's Live-Action 'Aladdin' Trailer Reveals Will Smith's Genie; Laughs Ensue,ENTERTAINMENT
Jeff Bezos' Amazon 'Package' Is On Its Way In Hilarious 'Saturday Night Live' Cold Open,COMEDY
Texas City Councilman Calls Alexandria Ocasio-Cortez A 'Bimbo' After She Criticizes Trump,POLITICS
Ex-Fleetwood Mac Guitarist Lindsey Buckingham Suffers Vocal Cord Damage,ENTERTAINMENT
"Ivanka Trump: Father 'Had No Involvement' In Security Clearances For Her, Kushner",POLITICS
Meet The Grammy-Nominated Singer Reclaiming Folk Music's Black History,BLACK VOICES
'SNL's' 'Darius' Trump Boasts He Keeps His 'White Boys On A Leash',COMEDY
How Can American Jews Stay Safe Now?,POLITICS
Top Democrats Call On Virginia's Justin Fairfax To Resign After 2nd Sexual Assault Allegation,POLITICS
Parents Protest For Kids' Right To Suffer From Preventable Illness,POLITICS
Apple To Pay Teen Who Uncovered FaceTime Eavesdropping Bug,TECH
Popular Sumatran Tiger Melati Killed By Intended Mate At London Zoo,ENVIRONMENT
Virginia Gov. Ralph Northam Will Focus On Racial Issues Instead Of Resigning,POLITICS
Conan O'Brien And Nick Kroll Teach Sex Education To Real Students,COMEDY
2018 Was A Banner Year For Strikes,POLITICS
Netflix Acquires Sundance Documentary Featuring Alexandria Ocasio-Cortez,POLITICS
Kellyanne Conway Claims Woman Assaulted Her At Restaurant,POLITICS
Why The Satirical Slasher 'Velvet Buzzsaw' Has The Art World Screaming,CULTURE & ARTS
Colbert Reveals How GOP Sees Sex Harassment vs. Trump’s ‘Presidential Harassment’,COMEDY
California Power Company Creates Plan To Help Prevent Wildfires,ENVIRONMENT
Apple Cracks Down On Apps That Quietly Record Users' Screen Time,TECH
Samantha Bee Dumps On Donald Trump's 'Worrying' SOTU Abortion And HIV Pledges,COMEDY
Seth Meyers Makes The Anti-Pitch For Donald Trump's Childhood Home,COMEDY
Ivanka Trump To Lead New White House Women's Empowerment Initiative,POLITICS
What Do You Need For Marathon Training?,WELLNESS
Read Donald Trump's 2019 State Of The Union Speech,POLITICS
Ari Melber Zings Former GOP Congressman Who Called Alexandria Ocasio-Cortez A Barista,MEDIA
Jimmy Kimmel Asks People To ID Mike Pence And It Doesn't Go Well,COMEDY
Jimmy Fallon's Fake Donald Trump Rates His Speech In Post-Game News Conference,COMEDY
Seth Meyers: Trump Should Be Happy His Predecessors Didn't Build A Wall,COMEDY
Stephen Colbert Conjures Up 'Russian Response' To Trump's Speech,COMEDY
The Patriots Won The Super Bowl But Not Everyone Got The Message,COMEDY
Seth Meyers To Gov. Ralph Northam: 'You Can't Moonwalk Your Way Out Of This One',COMEDY
2019 Oscars Won't Have An Official Host,ENTERTAINMENT
Stephen Colbert Gets Trump To Commit To Resigning On A Very Specific Date In New Spoof,COMEDY
This Period Board Game Aims To De-stigmatize Menstruation,PARENTING
Howard Schultz Prefers You Use Another Term Besides 'Billionaire',POLITICS
Alexandria Ocasio-Cortez's Chief Of Staff: Nothing 'Trumpian' About Her Twitter Use,POLITICS
The Fastest-Growing Job In Each State,MONEY
"'Handmaid's Tale' Super Bowl Ad Spooks, Excites Viewers",MEDIA
"Patriots, Tom Brady Grind Out Rams To Claim Sixth Title In Lackluster Super Bowl",SPORTS
Rami Malek Says Bryan Singer’s Accusers Deserve ‘To Have Their Voice Heard’,ENTERTAINMENT
Chuck Schumer And Nancy Pelosi Crash Stephen Colbert's Super Bowl Party,COMEDY
"Tim Gunn Will Never Wear This Hip Piece Of Apparel, He Tells Jimmy Fallon",COMEDY
World War I Grenade Discovered Among Potatoes At Hong Kong Potato Chip Factory,WEIRD NEWS
"General Motors About To Begin Laying Off 4,200 Salaried Workers",BUSINESS
Tulsi Gabbard Officially Kicks Off 2020 Presidential Campaign,POLITICS
Donald Jr. Says GOP Would Never Get Away With A Northam Scandal; Twitter Lets Him Have It,POLITICS
Alexandria Ocasio-Cortez Demands Northam's Resignation: This Is 'Painful',POLITICS
HuffPost Her Stories: Mexico’s ‘Hypocritical’ Love Of Indigenous ‘Roma’ Star Yalitza Aparicio,WOMEN
Bill Maher: America Does Need To Build A Wall,COMEDY
Apple Delays FaceTime Update After Eavesdropping Bug Fiasco,TECH
Vice Becomes Latest Media Outlet To Slash Staff Amid Industry Shakeup,MEDIA
Scientists Weigh Quick-Response Strategy To Correct Climate Change BS — Like Trump's,ENVIRONMENT
Stephen Colbert Explains The Hilarious Reason Why He's Not Playing In The Super Bowl,COMEDY
Google Celebrates First Day Of Black History Month With Sojourner Truth Doodle,BLACK VOICES
"Bats Invade Spurs-Nets NBA Game, So They Called In A Bat Catcher",WEIRD NEWS
Trevor Noah: Trump Wants FBI To Give Targets A 20-Minute Head Start — With A Golf Cart,COMEDY
Howard Schultz Reveals The Starbucks Barista Reason For White House Run In Spoof Ad,COMEDY
Fox News' Laura Ingraham Wants To Turn MAGA Hats Into A Symbol Of Kindness,MEDIA
Her Sexual Harassment Claim Was Found Credible. By Then She'd Already Left Politics.,POLITICS
New York Just Sued The Trump EPA For Reversing Obama-Era Air Pollution Rule,ENVIRONMENT
Pierre McGuire Mansplains Hockey To Olympic Gold Medalist Kendall Coyne Schofield,SPORTS
A Song Of Ice And Fire: Chicago Lights Up Train Tracks To Battle Cold,ENVIRONMENT
Baby Orangutan's Paternity Test Has Surprise Worthy Of Maury Povich,WEIRD NEWS
'The Most Emotionally Manipulative Super Bowl Ad Ever' Sadly Isn't Real,COMEDY
Navy To Launch First All-Female Flyover To Honor Pioneer Pilot Rosemary Mariner,WOMEN
Lawmakers Begin Talks On Border Deal To Keep Government Open Past Feb. 15,POLITICS
NOAA Claps Back At Trump And His Climate Change Doubts,ENVIRONMENT
There's A Lot Of Cozy Stuff On Sale At Anthropologie Today,STYLE & BEAUTY
Would-Be Bank Robber Rips Up Note After Getting Cold Feet,WEIRD NEWS
Laura Ingraham’s Cry For CEOs To Defend ‘This Way Of Life’ From Socialism Goes Awry,MEDIA
Majority Of Clemson’s Black Players Reportedly Skipped Donald Trump's Fast-Food Buffet,BLACK VOICES
‘The View’ Co-Hosts Smack Down Howard Schultz’s Presidential Ambitions To His Face,POLITICS
Trevor Noah On Roger Stone's Arrest: Welcome To The World Of Black People,COMEDY
FaceTime Users Urged To Disable App Over Eavesdropping Bug,TECH
Stephen Colbert Comes Up With A New Definition Of Insanity Just For Trump,COMEDY
Who Congress Follows On Twitter — Exposed!,POLITICS
John Bolton's Notes Indicate U.S. Troop Deployment An Option On Venezuela,POLITICS
Sandra Oh Is Red-Hot At 2019 SAG Awards In Glittering Gown,ENTERTAINMENT
Fox News Anchor Goes Off On Donald Trump: 'Bullying Journalists Is Not Presidential',POLITICS
"U.S. Charges Chinese Tech Giant Huawei, Top Executive",BUSINESS
Alexandria Ocasio-Cortez Tells Sundance That Trump Isn’t The Only Problem,ENTERTAINMENT
Patricia Arquette's Robert Mueller Shoutout Makes Twitter Go Crazy,ENTERTAINMENT
"People Want Democrats To Get Trump's Tax Returns, Please",POLITICS
U.S. Calls On World To 'Pick A Side' On Venezuela; Europeans Set To Recognize Guaido,WORLD NEWS
At Least 20 Dead As 2 Bombs Target Roman Catholic Cathedral In Philippines,WORLD NEWS
Meghan McCain Says Trump's GOP Is Unrecognizable: 'It Scares Me A Lot',POLITICS
Nancy Pelosi: Trump's State Of The Union Date Remains Uncertain,POLITICS
Nixon Foundation Scrambles To Distance Late President From Roger Stone,POLITICS
Chris Redd's Soulja Boy Throws His Gucci Headband In The Ring For President On 'SNL',COMEDY
End Of Government Shutdown Is Horribly Timed For Comedy Shows,COMEDY
Nancy Pelosi Knocks Trump: 'What Does Putin Have On The President?',POLITICS
Model And Actress Kim Porter Died From Pneumonia: Coroner,ENTERTAINMENT
Twitter Hasn’t Forgotten Lindsey Graham’s Dire Prediction About Trump And The Shutdown,POLITICS
HuffPost Her Stories: A Grisly Killing Shows Rampant Transphobia In Brazil,WOMEN
Barack Obama's Photographer Trolls Roger Stone With Rolling Stones Lyrics,POLITICS
Chris Matthews Torches Senate: What Are They Doing Except D**king Around?,MEDIA
Stephen Colbert Hits Trump And McConnell With 5 Scathing Words Over The Shutdown,COMEDY
Why It’s Important To Find Your Boob Squad,WOMEN
The 20 Funniest Tweets From Women This Week (Jan. 19-25),WOMEN
Donald Trump Responds To Roger Stone's Arrest In Mueller Investigation,POLITICS
'Crocodile Tears': Colorado Senator Slams Ted Cruz On Chamber Floor,POLITICS
The Housing Crisis Has Made Parenting A Pipe Dream For Some,PARENTING
Wilbur Ross Shrugs Off Shutdown: Federal Workers Will 'Eventually' Get Paid,POLITICS
‘Folded Like A Cheap Suit’: Twitter Users Taunt Trump For Being ‘Outplayed’ By Pelosi,POLITICS
Biographer Michael D’Antonio: Trump's Reaction To Nancy Pelosi Proves He's 'Scared',MEDIA
Anthony Scaramucci Lasts Half A Scaramucci Inside 'Celebrity Big Brother' House,POLITICS
Alexandria Ocasio-Cortez Is Only Democrat To Vote Against Reopening Government,POLITICS
Donald Trump's Childish Border Wall Rhyme Gets Hilariously Rewritten By Twitter Users,POLITICS
"Alec Baldwin Pleads Guilty In Parking Tussle, Agrees To Anger Management",ENTERTAINMENT
Hundreds Of Federal Workers And Supporters Protest Shutdown In Senate Building,POLITICS
"Pete Buttigieg, 37-Year-Old Mayor Of City In Indiana, Joins Presidential Race",POLITICS
Jimmy Kimmel Asks Kids To Settle 'Sesame Street' F-Bomb Debate Once And For All,COMEDY
Jimmy Fallon Gets Inside Donald Trump's Head And Reveals His Innermost Thoughts,COMEDY
Trump's Border Wall Demands Get An Ariana Grande Twist On 'The Tonight Show',COMEDY
"Trump Topped 8,000 Falsehoods Or Distortions In 2 Years, Fact-Checker Says",POLITICS
"Chris Christie Dumps On The ‘RiffRaff’ Of Donald Trump’s White House, One By One",POLITICS
Supreme Court Permits Trump's Transgender Military Ban To Move Forward,POLITICS
Seth Meyers Blames 'President Werewolf' For The Government Shutdown,COMEDY
Meghan Markle Earns Funny 'Foodie' Nickname From Makeup Artist Friend,ENTERTAINMENT
Israel Strikes Iranian Military Targets In Syria,WORLD NEWS
Lady Gaga Slams Mike Pence: He’s ‘The Worst Representation’ Of Christianity,ENTERTAINMENT
MSNBC Panel Trashes Rudy Giuliani As 'Worst Lawyer' Ever: 'He Should Be Disbarred',MEDIA
Dreamer Rejects Trump's DACA Extension: Democrats 'Should Absolutely Not Take This Deal',POLITICS
Ocasio-Cortez Pops Up In 'Donkey Kong' Twitch Stream To Raise Money For Transgender Kids,POLITICS
Avon Pulls Marketing Materials After Jameela Jamil Slams Company For Shaming Women,WOMEN
Cardi B Has Some Advice For Trump Supporters During The Government Shutdown,U.S. NEWS
Washington Post: Mueller's Office Caught Off Guard By BuzzFeed Report On Trump,POLITICS
"Ann Coulter Mocks Trump's Dreamers 'Amnesty,' Calls Him A Jeb",POLITICS
BuzzFeed Reporter Stands By Bombshell Trump Report: 'This Story Is Accurate',MEDIA
Women Laugh Their Ashes Off With Urn Repellent For Guys On 'SNL',COMEDY
Stephen Colbert Taunts Second Lady Karen Pence Over Teaching Job,COMEDY
'The Daily Show' Unveils Perfect Credit Card To Pay For Donald Trump's Wall,COMEDY
"Trump Gloats Over BuzzFeed Rebuke: 'Sad Day For Journalism, Great Day For Country'",POLITICS
Bill Maher Jokes About Penetration Between Donald Trump And Vladimir Putin,COMEDY
HuffPost Her Stories: The Brexit Story You Might Have Missed,WOMEN
Colbert Calls Out Trump Over Nancy Pelosi Trip: 'I've Told The Taliban You're Coming!',COMEDY
Alexandria Ocasio-Cortez Channels Spice Girls In Government Shutdown Tweets,POLITICS
Trump Promotes Unfounded Claim That Islamic Prayer Rugs Are Littering The Border,POLITICS
Shutdown Leaves Connecticut’s ‘Coast Guard City’ Reeling: 'I Never Expected This',POLITICS
The 20 Funniest Tweets From Women This Week (Jan. 12-18),WOMEN
Why Was Beto O'Rourke A National Phenomenon While Stacey Abrams Wasn't?,POLITICS
Meghan Markle's Glittery Gown Is The Sparkliest We've Seen Her,ENTERTAINMENT
Child Advocates Hope For A Champion In Kirsten Gillibrand,POLITICS
Seth Meyers Reveals Donald Trump's Oval Office Antics During Shutdown,COMEDY
Karen Pence's Anti-LGBTQ School To Receive 100 Copies Of LGBTQ Children's Book,POLITICS
Kimmel Makes The Most Persuasive Case For Trump To End Government Shutdown,COMEDY
Trevor Noah Works Trump's 'Schlong' Into His Takedown On The Shutdown,COMEDY
Grindr's Publication Into Lays Off Editorial Staff In Pivot To Video,QUEER VOICES
Donald Trump Dings Sons Eric And Donald Trump Jr. In Spoof Seth Meyers’ Briefing,COMEDY
Seth Meyers Completely Destroys One Of Trump's Biggest Myths,COMEDY
Stephen Colbert Reveals Just How Uncomfortably Close Trump Is To Putin,COMEDY
'Queer Eye' Stars Serve Up Britney Spears Homage In 'Lip Sync Battle',ENTERTAINMENT
Trevor Noah Breaks Down Why The Idea Of Trump Being A Russian Spy Is Preposterous,COMEDY
Stormy Daniels Sues Ohio Police For Her Strip Club Arrest,POLITICS
"Poetry Slam: Samuel L. Jackson And Jimmy Fallon Go Rhyme Time On The Wall, The Weather And More",COMEDY
Florida Official: Muslim Rep. Rashida Tlaib Might ‘Blow Up Capitol Hill’,POLITICS
Ex-DOJ Counterintelligence Chief: Trump Is 'A Clear And Present Danger' To National Security,MEDIA
House Democrats Push To Censure Rep. Steve King Over His Racism,POLITICS
Judge Blocks Trump Birth Control Coverage Rules In 13 States,U.S. NEWS
Trump Attorney General Nominee William Barr Pledges 'Transparency' On Mueller Probe,POLITICS
"Most Americans Hold Trump Responsible For Government Shutdown, New Polls Show",POLITICS
Jake Patterson Watched Jayme Closs Board School Bus Before Abducting Her: Prosecutors,CRIME
Struggling Coast Guard Members Offered Interest-Free Emergency  'Shutdown' Loans,POLITICS
Oklahoma Couple Charged With Manslaughter After 3-Year-Old Dies With 17-Pound Tumor,CRIME
TSA Workers Sent $500 Bonuses And 1 Day's Pay To Ease Financial Strain,U.S. NEWS
GoFundMe To Reimburse Border Wall Campaign Donors,U.S. NEWS
Chinese Tech Giant Huawei Fires Sales Director Accused By Poland Of Espionage,WORLD NEWS
Mike Pompeo Rips As 'Absolutely Ludicrous' NYT Story On Alleged FBI Inquiry Into Trump,POLITICS
Sarah Huckabee Sanders Said It: FBI-Probe Targets Who Slam Agents Are Losers,POLITICS
"Jayme Closs Spent First Night Home 'Next To Me,' Says Aunt",CRIME
Los Angeles Teachers Set To Begin Massive Strike On Monday,POLITICS
Jim Carrey Pushes Sen. Lindsey Graham To The Wall In New Critical Cartoon,ENTERTAINMENT
Shep Smith Appears To Pull Subtlest Of Fact-Checks On Fellow Fox News Hosts,MEDIA
Stephen Colbert Finds Business Opportunities In Trump's Government Shutdown,COMEDY
FBI Probed Whether Trump Was Working For Russia After Comey Firing: Report,POLITICS
Lin-Manuel Miranda Takes 'Hamilton' To Puerto Rico With Big Opening Night,CULTURE & ARTS
Nick Jonas And Priyanka Chopra Are Finally Honeymooners One Month After Wedding,ENTERTAINMENT
Seth Meyers Picks Apart One Of Donald Trump’s Most Nonsensical Analogies Yet,COMEDY
Mark Hamill Shares A Makeover For Trump's Border Wall That Everyone Can Support,ENTERTAINMENT
"Mueller, Feds Probe Ukrainian Officials Who Attended Trump's Inauguration: Report",POLITICS
Drew Barrymore Won't Try Heroin Or Plastic Surgery Because She'd 'Be Dead Really Soon',ENTERTAINMENT
Laura Ingraham: Democrats Oppose Wall So Immigrants Can Flip States,MEDIA
Wisconsin Lawsuit Seeks To Strike Down Laws Passed During Republican Power Grab,POLITICS
'The Bigoted Bang Theory': Twitter Roasts Donald Trump With #WhiteHouseSitcoms,POLITICS
Unpaid TSA Agent Guesses Who's High On The Street On 'Jimmy Kimmel',COMEDY
Seth Meyers Crunches All Donald Trump's Numbers On The Wall,COMEDY
Trump Won't Answer Any More Questions From Mueller In Russia Investigation: Giuliani,POLITICS
Woman's Lawyer Suggests Chewing Coat Caused High Blood-Alcohol Level,WEIRD NEWS
Illinois Prosecutor Asks Possible Victims Of R. Kelly's Abuse To Come Forward,CRIME
R. Kelly Under Investigation Over Claims Made In Lifetime Series: Reports,ENTERTAINMENT
Stephen Colbert Gives Donald Trump’s Wall Speech An Uproarious Alternate Ending,COMEDY
AP's Fact-Checking Shutdown Tweet Goes Viral For The Wrong Reasons,MEDIA
"Trailer For 'Little' Movie Drops, And Twitter Is Already Celebrating Its Joyful Vibe",BLACK VOICES
Supreme Court Rules Against Mystery Company With Possible Ties To Mueller Probe,POLITICS
Samuel L. Jackson Has Rashida Tlaib's Back Over 'Motherf**ker' Donald Trump Rally Cry,ENTERTAINMENT
Adorable Dog Responding To Harry Potter Spells Is Pure Magic,WEIRD NEWS
New 'Captain Marvel' Special Look Trailer Gets Down To Earth,ENTERTAINMENT
All The Lies President Trump May Tell During His Address On The Border Wall,POLITICS
Mueller Thinks Paul Manafort Shared Trump Polling Data With Russian Operative,POLITICS
'The Daily Show' Roasts TV Stations Over R. Kelly Coverage With Bill Cosby Clip,COMEDY
Christian Bale Thanks Satan For Inspiring Dick Cheney Role In Golden Globes Speech,ENTERTAINMENT
Jada Pinkett Smith Asks What She's Missing After R. Kelly's Music Sales Surge,ENTERTAINMENT
Liz Cheney Slams Christian Bale For Golden Globes Remarks About Her Father,POLITICS
Voting Rights Will Soon Be Restored To Over 1 Million Former Felons In Florida,POLITICS
"'Betrayed' Factory Boss Turns On Trump, Says Plant May Move To Mexico",POLITICS
WikiLeaks Sends Out 140 Verboten Statements On Assange That Reporters Can't Write: Report,MEDIA
"Time's Up Advocates To Debut New Ribbons, Bracelets At Golden Globes",U.S. NEWS
Death Row Inmate Found Dead In Cell After Execution Halted Twice,U.S. NEWS
Suspect Charged With Murder In The Jazmine Barnes Killing In Houston,U.S. NEWS
Alexandria Ocasio-Cortez Honors Mom With Moving Instagram Post After Swearing In,POLITICS
Her Husband Was Detained In Iran. Now She's Raising Their Child On Her Own.,POLITICS
CNN's Anderson Cooper Delivers Scorching Fact-Check Of Donald Trump's Shutdown Boast,MEDIA
"Kevin Hart, R. Kelly And The Black Lives That Matter",BLACK VOICES
HuffPost Her Stories: A ‘Spectacular Start To The Year’ For Gender Equality In India,WOMEN
Donald Trump Makes Wild Boast About 'Great Support' For The Border Wall,POLITICS
"Democrat Accuses Kirstjen Nielsen Of 'Outright Lies' On Border, Calls For Hearing",POLITICS
Beto O'Rourke Is 'Supportive Of The Concept' Of A Green New Deal,POLITICS
The Ultimate Scammer Is This Woman On 'The Bachelor' Faking An Australian Accent,ENTERTAINMENT
"Bennett College, One Of The Last Women’s HBCUs, Could Lose Accreditation Over Money",BLACK VOICES
Here's How You Can Book A Trip For Just $1,TRAVEL
The 20 Funniest Tweets From Women This Week (Dec. 29-Jan. 4),WOMEN
"Rep. Steve Cohen Introduces Bills To Get Rid Of Electoral College, Stop Presidents Self-Pardoning",POLITICS
